11:38:52.494404 ARP, Request who-has 10.12.19.23 (ff:ff:ff:ff:ff:ff) tell 10.12.100.44, length 46
11:38:52.695113 IP 10.12.100.44.63818 > 10.12.19.23.1419: UDP, length 0
11:38:55.267181 IP 10.12.100.44.63819 > 10.12.19.23.19682: UDP, length 0
11:38:55.267192 IP 10.12.100.44.63819 > 10.12.19.23.16573: UDP, length 0
11:38:55.267194 IP 10.12.100.44.63819 > 10.12.19.23.20525: UDP, length 0
11:38:55.269628 IP 10.12.100.44.63819 > 10.12.19.23.33030: UDP, length 0
11:38:55.269651 IP 10.12.100.44.63819 > 10.12.19.23.16938: UDP, length 0
11:38:55.269653 IP 10.12.100.44.63819 > 10.12.19.23.34578: UDP, length 0
11:38:55.311806 IP 10.12.100.44.63818 > 10.12.19.23.18666: UDP, length 0
11:38:55.314511 IP 10.12.100.44.63818 > 10.12.19.23.49360: UDP, length 0
11:38:55.314533 IP 10.12.100.44.63818 > 10.12.19.23.19935: UDP, length 0
11:38:55.314535 IP 10.12.100.44.63818 > 10.12.19.23.19616: UDP, length 0
11:38:55.317613 IP 10.12.100.44.63818 > 10.12.19.23.48489: UDP, length 0
11:38:55.317620 IP 10.12.100.44.63818 > 10.12.19.23.39217: UDP, length 0
11:38:55.317622 IP 10.12.100.44.63818 > 10.12.19.23.19718: UDP, length 0
11:38:55.320007 IP 10.12.100.44.63818 > 10.12.19.23.19995: UDP, length 0
11:38:55.320014 IP 10.12.100.44.63818 > 10.12.19.23.57409: UDP, length 0
11:38:55.320015 IP 10.12.100.44.63818 > 10.12.19.23.902: UDP, length 0
11:38:55.362095 IP 10.12.100.44.63819 > 10.12.19.23.18666: UDP, length 0
11:38:55.364952 IP 10.12.100.44.63819 > 10.12.19.23.19616: UDP, length 0
11:38:55.364967 IP 10.12.100.44.63819 > 10.12.19.23.19935: UDP, length 0
11:38:55.365028 IP 10.12.100.44.63819 > 10.12.19.23.49360: UDP, length 0
11:38:55.368185 IP 10.12.100.44.63819 > 10.12.19.23.19718: UDP, length 0
11:38:55.368237 IP 10.12.100.44.63819 > 10.12.19.23.39217: UDP, length 0
11:38:55.368239 IP 10.12.100.44.63819 > 10.12.19.23.48489: UDP, length 0
11:38:55.370563 IP 10.12.100.44.63819 > 10.12.19.23.902: UDP, length 0
11:38:55.370570 IP 10.12.100.44.63819 > 10.12.19.23.57409: UDP, length 0
11:38:55.370572 IP 10.12.100.44.63819 > 10.12.19.23.19995: UDP, length 0
11:38:55.413316 IP 10.12.100.44.63818 > 10.12.19.23.1081: UDP, length 0
11:38:55.415799 IP 10.12.100.44.63818 > 10.12.19.23.21655: UDP, length 0
11:38:55.415806 IP 10.12.100.44.63818 > 10.12.19.23.19933: UDP, length 0
11:38:55.415808 IP 10.12.100.44.63818 > 10.12.19.23.20146: UDP, length 0
11:38:55.418678 IP 10.12.100.44.63818 > 10.12.19.23.36669: UDP, length 0
11:38:55.418684 IP 10.12.100.44.63818 > 10.12.19.23.33866: UDP, length 0
11:38:55.418686 IP 10.12.100.44.63818 > 10.12.19.23.49178: UDP, length 0
11:38:55.421259 IP 10.12.100.44.63818 > 10.12.19.23.32776: UDP, length 0
11:38:55.421265 IP 10.12.100.44.63818 > 10.12.19.23.20: UDP, length 0
11:38:55.421324 IP 10.12.100.44.63818 > 10.12.19.23.1036: UDP, length 0
11:38:55.463522 IP 10.12.100.44.63819 > 10.12.19.23.1081: UDP, length 0
11:38:55.466168 IP 10.12.100.44.63819 > 10.12.19.23.20146: UDP, length 0
11:38:55.466177 IP 10.12.100.44.63819 > 10.12.19.23.19933: UDP, length 0
11:38:55.466178 IP 10.12.100.44.63819 > 10.12.19.23.21655: UDP, length 0
11:38:55.469200 IP 10.12.100.44.63819 > 10.12.19.23.49178: UDP, length 0
11:38:55.469220 IP 10.12.100.44.63819 > 10.12.19.23.33866: UDP, length 0
11:38:55.469221 IP 10.12.100.44.63819 > 10.12.19.23.36669: UDP, length 0
11:38:55.471858 IP 10.12.100.44.63819 > 10.12.19.23.1036: UDP, length 0
11:38:55.471877 IP 10.12.100.44.63819 > 10.12.19.23.20: UDP, length 0
11:38:55.471879 IP 10.12.100.44.63819 > 10.12.19.23.32776: UDP, length 0
11:38:55.513731 IP 10.12.100.44.63818 > 10.12.19.23.17592: UDP, length 0
11:38:55.516328 IP 10.12.100.44.63818 > 10.12.19.23.21104: UDP, length 0
11:38:55.516337 IP 10.12.100.44.63818 > 10.12.19.23.43195: UDP, length 0
11:38:55.516353 IP 10.12.100.44.63818 > 10.12.19.23.44508: UDP, length 0
11:38:55.519353 IP 10.12.100.44.63818 > 10.12.19.23.17674: UDP, length 0
11:38:55.519359 IP 10.12.100.44.63818 > 10.12.19.23.20679: UDP, length 0
11:38:55.519361 IP 10.12.100.44.63818 > 10.12.19.23.43686: UDP, length 0
11:38:55.522142 IP 10.12.100.44.63818 > 10.12.19.23.16919: UDP, length 0
11:38:55.522148 IP 10.12.100.44.63818 > 10.12.19.23.40441: UDP, length 0
11:38:55.522149 IP 10.12.100.44.63818 > 10.12.19.23.49209: UDP, length 0
11:38:55.565042 IP 10.12.100.44.63819 > 10.12.19.23.17592: UDP, length 0
11:38:55.567518 IP 10.12.100.44.63819 > 10.12.19.23.44508: UDP, length 0
11:38:55.567528 IP 10.12.100.44.63819 > 10.12.19.23.43195: UDP, length 0
11:38:55.567530 IP 10.12.100.44.63819 > 10.12.19.23.21104: UDP, length 0
11:38:55.569597 IP 10.12.100.44.63819 > 10.12.19.23.43686: UDP, length 0
11:38:55.569604 IP 10.12.100.44.63819 > 10.12.19.23.20679: UDP, length 0
11:38:55.569605 IP 10.12.100.44.63819 > 10.12.19.23.17674: UDP, length 0
11:38:55.572603 IP 10.12.100.44.63819 > 10.12.19.23.49209: UDP, length 0
11:38:55.572622 IP 10.12.100.44.63819 > 10.12.19.23.40441: UDP, length 0
11:38:55.572624 IP 10.12.100.44.63819 > 10.12.19.23.16919: UDP, length 0
11:38:55.615347 IP 10.12.100.44.63818 > 10.12.19.23.20424: UDP, length 0
11:38:55.618034 IP 10.12.100.44.63818 > 10.12.19.23.33249: UDP, length 0
11:38:55.618042 IP 10.12.100.44.63818 > 10.12.19.23.41638: UDP, length 0
11:38:55.618044 IP 10.12.100.44.63818 > 10.12.19.23.26872: UDP, length 0
11:38:55.620517 IP 10.12.100.44.63818 > 10.12.19.23.17237: UDP, length 0
11:38:55.620524 IP 10.12.100.44.63818 > 10.12.19.23.49393: UDP, length 0
11:38:55.620526 IP 10.12.100.44.63818 > 10.12.19.23.1072: UDP, length 0
11:38:55.622966 IP 10.12.100.44.63818 > 10.12.19.23.4008: UDP, length 0
11:38:55.623052 IP 10.12.100.44.63818 > 10.12.19.23.22124: UDP, length 0
11:38:55.623055 IP 10.12.100.44.63818 > 10.12.19.23.17494: UDP, length 0
11:38:55.665633 IP 10.12.100.44.63819 > 10.12.19.23.20424: UDP, length 0
11:38:55.668261 IP 10.12.100.44.63819 > 10.12.19.23.26872: UDP, length 0
11:38:55.668268 IP 10.12.100.44.63819 > 10.12.19.23.41638: UDP, length 0
11:38:55.668270 IP 10.12.100.44.63819 > 10.12.19.23.33249: UDP, length 0
11:38:55.671054 IP 10.12.100.44.63819 > 10.12.19.23.1072: UDP, length 0
11:38:55.671062 IP 10.12.100.44.63819 > 10.12.19.23.49393: UDP, length 0
11:38:55.671063 IP 10.12.100.44.63819 > 10.12.19.23.17237: UDP, length 0
11:38:55.673517 IP 10.12.100.44.63819 > 10.12.19.23.17494: UDP, length 0
11:38:55.673525 IP 10.12.100.44.63819 > 10.12.19.23.22124: UDP, length 0
11:38:55.673526 IP 10.12.100.44.63819 > 10.12.19.23.4008: UDP, length 0
11:38:55.715713 IP 10.12.100.44.63818 > 10.12.19.23.38293: UDP, length 0
11:38:55.718704 IP 10.12.100.44.63818 > 10.12.19.23.6004: UDP, length 0
11:38:55.718711 IP 10.12.100.44.63818 > 10.12.19.23.47915: UDP, length 0
11:38:55.718712 IP 10.12.100.44.63818 > 10.12.19.23.407: UDP, length 0
11:38:55.721360 IP 10.12.100.44.63818 > 10.12.19.23.47624: UDP, length 0
11:38:55.721367 IP 10.12.100.44.63818 > 10.12.19.23.1885: UDP, length 0
11:38:55.721368 IP 10.12.100.44.63818 > 10.12.19.23.36778: UDP, length 0
11:38:55.723733 IP 10.12.100.44.63818 > 10.12.19.23.40711: UDP, length 0
11:38:55.723825 IP 10.12.100.44.63818 > 10.12.19.23.1038: UDP, length 0
11:38:55.723828 IP 10.12.100.44.63818 > 10.12.19.23.19294: UDP, length 0
11:38:55.766556 IP 10.12.100.44.63819 > 10.12.19.23.38293: UDP, length 0
11:38:55.769191 IP 10.12.100.44.63819 > 10.12.19.23.407: UDP, length 0
11:38:55.769214 IP 10.12.100.44.63819 > 10.12.19.23.47915: UDP, length 0
11:38:55.769216 IP 10.12.100.44.63819 > 10.12.19.23.6004: UDP, length 0
11:38:55.771896 IP 10.12.100.44.63819 > 10.12.19.23.36778: UDP, length 0
11:38:55.771902 IP 10.12.100.44.63819 > 10.12.19.23.1885: UDP, length 0
11:38:55.771904 IP 10.12.100.44.63819 > 10.12.19.23.47624: UDP, length 0
11:38:55.774283 IP 10.12.100.44.63819 > 10.12.19.23.19294: UDP, length 0
11:38:55.774290 IP 10.12.100.44.63819 > 10.12.19.23.1038: UDP, length 0
11:38:55.774291 IP 10.12.100.44.63819 > 10.12.19.23.40711: UDP, length 0
11:38:55.816636 IP 10.12.100.44.63818 > 10.12.19.23.18818: UDP, length 0
11:38:55.819560 IP 10.12.100.44.63818 > 10.12.19.23.49222: UDP, length 0
11:38:55.819579 IP 10.12.100.44.63818 > 10.12.19.23.21902: UDP, length 0
11:38:55.819581 IP 10.12.100.44.63818 > 10.12.19.23.49306: UDP, length 0
11:38:55.822049 IP 10.12.100.44.63818 > 10.12.19.23.49191: UDP, length 0
11:38:55.822057 IP 10.12.100.44.63818 > 10.12.19.23.37813: UDP, length 0
11:38:55.822059 IP 10.12.100.44.63818 > 10.12.19.23.21364: UDP, length 0
11:38:55.824445 IP 10.12.100.44.63818 > 10.12.19.23.9877: UDP, length 0
11:38:55.824457 IP 10.12.100.44.63818 > 10.12.19.23.49167: UDP, length 0
11:38:55.824459 IP 10.12.100.44.63818 > 10.12.19.23.427: UDP, length 54
11:38:55.866999 IP 10.12.100.44.63819 > 10.12.19.23.18818: UDP, length 0
11:38:55.870112 IP 10.12.100.44.63819 > 10.12.19.23.49306: UDP, length 0
11:38:55.870123 IP 10.12.100.44.63819 > 10.12.19.23.21902: UDP, length 0
11:38:55.870125 IP 10.12.100.44.63819 > 10.12.19.23.49222: UDP, length 0
11:38:55.872535 IP 10.12.100.44.63819 > 10.12.19.23.21364: UDP, length 0
11:38:55.872542 IP 10.12.100.44.63819 > 10.12.19.23.37813: UDP, length 0
11:38:55.872544 IP 10.12.100.44.63819 > 10.12.19.23.49191: UDP, length 0
11:38:55.874865 IP 10.12.100.44.63819 > 10.12.19.23.427: UDP, length 54
11:38:55.874883 IP 10.12.100.44.63819 > 10.12.19.23.49167: UDP, length 0
11:38:55.874897 IP 10.12.100.44.63819 > 10.12.19.23.9877: UDP, length 0
11:38:55.917685 IP 10.12.100.44.63818 > 10.12.19.23.16433: UDP, length 0
11:38:55.920420 IP 10.12.100.44.63818 > 10.12.19.23.19541: UDP, length 0
11:38:55.920427 IP 10.12.100.44.63818 > 10.12.19.23.32774: UDP, length 0
11:38:55.920429 IP 10.12.100.44.63818 > 10.12.19.23.36893: UDP, length 0
11:38:55.922778 IP 10.12.100.44.63818 > 10.12.19.23.37602: UDP, length 0
11:38:55.922785 IP 10.12.100.44.63818 > 10.12.19.23.51717: UDP, length 0
11:38:55.922786 IP 10.12.100.44.63818 > 10.12.19.23.54807: UDP, length 0
11:38:55.925023 IP 10.12.100.44.63818 > 10.12.19.23.21298: UDP, length 0
11:38:55.925030 IP 10.12.100.44.63818 > 10.12.19.23.49162: UDP, length 0
11:38:55.925032 IP 10.12.100.44.63818 > 10.12.19.23.16912: UDP, length 0
11:38:55.967977 IP 10.12.100.44.63819 > 10.12.19.23.16433: UDP, length 0
11:38:55.970987 IP 10.12.100.44.63819 > 10.12.19.23.36893: UDP, length 0
11:38:55.970996 IP 10.12.100.44.63819 > 10.12.19.23.32774: UDP, length 0
11:38:55.970998 IP 10.12.100.44.63819 > 10.12.19.23.19541: UDP, length 0
11:38:55.973583 IP 10.12.100.44.63819 > 10.12.19.23.54807: UDP, length 0
11:38:55.973592 IP 10.12.100.44.63819 > 10.12.19.23.51717: UDP, length 0
11:38:55.973594 IP 10.12.100.44.63819 > 10.12.19.23.37602: UDP, length 0
11:38:55.976165 IP 10.12.100.44.63819 > 10.12.19.23.16912: UDP, length 0
11:38:55.976172 IP 10.12.100.44.63819 > 10.12.19.23.49162: UDP, length 0
11:38:55.976174 IP 10.12.100.44.63819 > 10.12.19.23.21298: UDP, length 0
11:38:56.018064 IP 10.12.100.44.63818 > 10.12.19.23.434: UDP, length 0
11:38:56.021180 IP 10.12.100.44.63818 > 10.12.19.23.137: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
11:38:56.021223 IP 10.12.100.44.63818 > 10.12.19.23.57977: UDP, length 0
11:38:56.021227 IP 10.12.100.44.63818 > 10.12.19.23.22799: UDP, length 0
11:38:56.023757 IP 10.12.100.44.63818 > 10.12.19.23.49: UDP, length 0
11:38:56.023766 IP 10.12.100.44.63818 > 10.12.19.23.3664: UDP, length 0
11:38:56.023829 IP 10.12.100.44.63818 > 10.12.19.23.6971: UDP, length 0
11:38:56.026359 IP 10.12.100.44.63818 > 10.12.19.23.40019: UDP, length 0
11:38:56.026367 IP 10.12.100.44.63818 > 10.12.19.23.1457: UDP, length 0
11:38:56.026426 IP 10.12.100.44.63818 > 10.12.19.23.33459: UDP, length 0
11:38:56.068395 IP 10.12.100.44.63819 > 10.12.19.23.434: UDP, length 0
11:38:56.071755 IP 10.12.100.44.63819 > 10.12.19.23.22799: UDP, length 0
11:38:56.071776 IP 10.12.100.44.63819 > 10.12.19.23.57977: UDP, length 0
11:38:56.071793 IP 10.12.100.44.63819 > 10.12.19.23.137: NBT UDP PACKET(137): QUERY; REQUEST; BROADCAST
11:38:56.074120 IP 10.12.100.44.63819 > 10.12.19.23.6971: UDP, length 0
11:38:56.074126 IP 10.12.100.44.63819 > 10.12.19.23.3664: UDP, length 0
11:38:56.074140 IP 10.12.100.44.63819 > 10.12.19.23.49: UDP, length 0
11:38:56.076728 IP 10.12.100.44.63819 > 10.12.19.23.33459: UDP, length 0
11:38:56.076750 IP 10.12.100.44.63819 > 10.12.19.23.1457: UDP, length 0
11:38:56.076751 IP 10.12.100.44.63819 > 10.12.19.23.40019: UDP, length 0
11:38:56.119268 IP 10.12.100.44.63818 > 10.12.19.23.43824: UDP, length 0
11:38:56.122172 IP 10.12.100.44.63818 > 10.12.19.23.16972: UDP, length 0
11:38:56.122179 IP 10.12.100.44.63818 > 10.12.19.23.27892: UDP, length 0
11:38:56.122181 IP 10.12.100.44.63818 > 10.12.19.23.17490: UDP, length 0
11:38:56.124598 IP 10.12.100.44.63818 > 10.12.19.23.55043: UDP, length 0
11:38:56.124620 IP 10.12.100.44.63818 > 10.12.19.23.21083: UDP, length 0
11:38:56.124622 IP 10.12.100.44.63818 > 10.12.19.23.49179: UDP, length 0
11:38:56.127032 IP 10.12.100.44.63818 > 10.12.19.23.37144: UDP, length 0
11:38:56.127038 IP 10.12.100.44.63818 > 10.12.19.23.24606: UDP, length 0
11:38:56.127040 IP 10.12.100.44.63818 > 10.12.19.23.965: UDP, length 0
11:38:56.169771 IP 10.12.100.44.63819 > 10.12.19.23.43824: UDP, length 0
11:38:56.172460 IP 10.12.100.44.63819 > 10.12.19.23.17490: UDP, length 0
11:38:56.172472 IP 10.12.100.44.63819 > 10.12.19.23.27892: UDP, length 0
11:38:56.172474 IP 10.12.100.44.63819 > 10.12.19.23.16972: UDP, length 0
11:38:56.174990 IP 10.12.100.44.63819 > 10.12.19.23.49179: UDP, length 0
11:38:56.175007 IP 10.12.100.44.63819 > 10.12.19.23.21083: UDP, length 0
11:38:56.175009 IP 10.12.100.44.63819 > 10.12.19.23.55043: UDP, length 0
11:38:56.177555 IP 10.12.100.44.63819 > 10.12.19.23.965: UDP, length 0
11:38:56.177576 IP 10.12.100.44.63819 > 10.12.19.23.24606: UDP, length 0
11:38:56.177578 IP 10.12.100.44.63819 > 10.12.19.23.37144: UDP, length 0
11:38:56.220231 IP 10.12.100.44.63818 > 10.12.19.23.47981: UDP, length 0
11:38:56.222685 IP 10.12.100.44.63818 > 10.12.19.23.49158: UDP, length 0
11:38:56.222692 IP 10.12.100.44.63818 > 10.12.19.23.23557: UDP, length 0
11:38:56.222694 IP 10.12.100.44.63818 > 10.12.19.23.17077: UDP, length 0
11:38:56.225487 IP 10.12.100.44.63818 > 10.12.19.23.20366: UDP, length 0
11:38:56.225494 IP 10.12.100.44.63818 > 10.12.19.23.17787: UDP, length 0
11:38:56.225496 IP 10.12.100.44.63818 > 10.12.19.23.9200: UDP, length 0
11:38:56.228043 IP 10.12.100.44.63818 > 10.12.19.23.49259: UDP, length 0
11:38:56.228049 IP 10.12.100.44.63818 > 10.12.19.23.23354: UDP, length 0
11:38:56.228051 IP 10.12.100.44.63818 > 10.12.19.23.19022: UDP, length 0
11:38:56.270686 IP 10.12.100.44.63819 > 10.12.19.23.47981: UDP, length 0
11:38:56.273053 IP 10.12.100.44.63819 > 10.12.19.23.17077: UDP, length 0
11:38:56.273060 IP 10.12.100.44.63819 > 10.12.19.23.23557: UDP, length 0
11:38:56.273074 IP 10.12.100.44.63819 > 10.12.19.23.49158: UDP, length 0
11:38:56.275849 IP 10.12.100.44.63819 > 10.12.19.23.9200: UDP, length 0
11:38:56.275856 IP 10.12.100.44.63819 > 10.12.19.23.17787: UDP, length 0
11:38:56.275858 IP 10.12.100.44.63819 > 10.12.19.23.20366: UDP, length 0
11:38:56.278279 IP 10.12.100.44.63819 > 10.12.19.23.19022: UDP, length 0
11:38:56.278298 IP 10.12.100.44.63819 > 10.12.19.23.23354: UDP, length 0
11:38:56.278299 IP 10.12.100.44.63819 > 10.12.19.23.49259: UDP, length 0
11:38:56.320927 IP 10.12.100.44.63818 > 10.12.19.23.21621: UDP, length 0
11:38:56.323565 IP 10.12.100.44.63818 > 10.12.19.23.59193: UDP, length 0
11:38:56.323574 IP 10.12.100.44.63818 > 10.12.19.23.19632: UDP, length 0
11:38:56.323615 IP 10.12.100.44.63818 > 10.12.19.23.32769: UDP, length 0
11:38:56.325956 IP 10.12.100.44.63818 > 10.12.19.23.7: UDP, length 4
11:38:56.325977 IP 10.12.100.44.63818 > 10.12.19.23.9199: UDP, length 0
11:38:56.326063 IP 10.12.100.44.63818 > 10.12.19.23.57843: UDP, length 0
11:38:56.328704 IP 10.12.100.44.63818 > 10.12.19.23.3659: UDP, length 0
11:38:56.328712 IP 10.12.100.44.63818 > 10.12.19.23.512: UDP, length 0
11:38:56.328713 IP 10.12.100.44.63818 > 10.12.19.23.24279: UDP, length 0
11:38:56.370996 IP 10.12.100.44.63819 > 10.12.19.23.21621: UDP, length 0
11:38:56.374157 IP 10.12.100.44.63819 > 10.12.19.23.32769: UDP, length 0
11:38:56.374173 IP 10.12.100.44.63819 > 10.12.19.23.19632: UDP, length 0
11:38:56.374175 IP 10.12.100.44.63819 > 10.12.19.23.59193: UDP, length 0
11:38:56.376643 IP 10.12.100.44.63819 > 10.12.19.23.57843: UDP, length 0
11:38:56.376682 IP 10.12.100.44.63819 > 10.12.19.23.9199: UDP, length 0
11:38:56.376683 IP 10.12.100.44.63819 > 10.12.19.23.7: UDP, length 4
11:38:56.379162 IP 10.12.100.44.63819 > 10.12.19.23.24279: UDP, length 0
11:38:56.379188 IP 10.12.100.44.63819 > 10.12.19.23.512: UDP, length 0
11:38:56.379189 IP 10.12.100.44.63819 > 10.12.19.23.3659: UDP, length 0
11:38:56.421315 IP 10.12.100.44.63818 > 10.12.19.23.64080: UDP, length 0
11:38:56.424607 IP 10.12.100.44.63818 > 10.12.19.23.17205: UDP, length 0
11:38:56.424614 IP 10.12.100.44.63818 > 10.12.19.23.25240: UDP, length 0
11:38:56.424616 IP 10.12.100.44.63818 > 10.12.19.23.20791: UDP, length 0
11:38:56.427212 IP 10.12.100.44.63818 > 10.12.19.23.18994: UDP, length 0
11:38:56.427219 IP 10.12.100.44.63818 > 10.12.19.23.50497: UDP, length 0
11:38:56.427220 IP 10.12.100.44.63818 > 10.12.19.23.19222: UDP, length 0
11:38:56.429642 IP 10.12.100.44.63818 > 10.12.19.23.1067: UDP, length 0
11:38:56.429648 IP 10.12.100.44.63818 > 10.12.19.23.24854: UDP, length 0
11:38:56.429650 IP 10.12.100.44.63818 > 10.12.19.23.19161: UDP, length 0
11:38:56.472440 IP 10.12.100.44.63819 > 10.12.19.23.64080: UDP, length 0
11:38:56.475125 IP 10.12.100.44.63819 > 10.12.19.23.20791: UDP, length 0
11:38:56.475133 IP 10.12.100.44.63819 > 10.12.19.23.25240: UDP, length 0
11:38:56.475150 IP 10.12.100.44.63819 > 10.12.19.23.17205: UDP, length 0
11:38:56.477556 IP 10.12.100.44.63819 > 10.12.19.23.19222: UDP, length 0
11:38:56.477577 IP 10.12.100.44.63819 > 10.12.19.23.50497: UDP, length 0
11:38:56.477579 IP 10.12.100.44.63819 > 10.12.19.23.18994: UDP, length 0
11:38:56.480166 IP 10.12.100.44.63819 > 10.12.19.23.19161: UDP, length 0
11:38:56.480179 IP 10.12.100.44.63819 > 10.12.19.23.24854: UDP, length 0
11:38:56.480181 IP 10.12.100.44.63819 > 10.12.19.23.1067: UDP, length 0
11:38:56.522923 IP 10.12.100.44.63818 > 10.12.19.23.17505: UDP, length 0
11:38:56.525418 IP 10.12.100.44.63818 > 10.12.19.23.49216: UDP, length 0
11:38:56.525426 IP 10.12.100.44.63818 > 10.12.19.23.1090: UDP, length 0
11:38:56.525428 IP 10.12.100.44.63818 > 10.12.19.23.1524: UDP, length 0
11:38:56.527821 IP 10.12.100.44.63818 > 10.12.19.23.58075: UDP, length 0
11:38:56.527840 IP 10.12.100.44.63818 > 10.12.19.23.21710: UDP, length 0
11:38:56.527841 IP 10.12.100.44.63818 > 10.12.19.23.593: UDP, length 0
11:38:56.530373 IP 10.12.100.44.63818 > 10.12.19.23.21405: UDP, length 0
11:38:56.530379 IP 10.12.100.44.63818 > 10.12.19.23.5632: UDP, length 0
11:38:56.530461 IP 10.12.100.44.63818 > 10.12.19.23.22029: UDP, length 0
11:38:56.573397 IP 10.12.100.44.63819 > 10.12.19.23.17505: UDP, length 0
11:38:56.575596 IP 10.12.100.44.63819 > 10.12.19.23.1524: UDP, length 0
11:38:56.575607 IP 10.12.100.44.63819 > 10.12.19.23.1090: UDP, length 0
11:38:56.575609 IP 10.12.100.44.63819 > 10.12.19.23.49216: UDP, length 0
11:38:56.577902 IP 10.12.100.44.63819 > 10.12.19.23.21710: UDP, length 0
11:38:56.577928 IP 10.12.100.44.63819 > 10.12.19.23.58075: UDP, length 0
11:38:56.580422 IP 10.12.100.44.63819 > 10.12.19.23.21405: UDP, length 0
11:38:56.580452 IP 10.12.100.44.63819 > 10.12.19.23.593: UDP, length 0
11:38:56.582611 IP 10.12.100.44.63819 > 10.12.19.23.22029: UDP, length 0
11:38:56.582623 IP 10.12.100.44.63819 > 10.12.19.23.5632: UDP, length 0
11:38:56.623420 IP 10.12.100.44.63818 > 10.12.19.23.88:  [|kerberos]
11:38:56.625748 IP 10.12.100.44.63818 > 10.12.19.23.21366: UDP, length 0
11:38:56.625760 IP 10.12.100.44.63818 > 10.12.19.23.61142: UDP, length 0
11:38:56.625762 IP 10.12.100.44.63818 > 10.12.19.23.17615: UDP, length 0
11:38:56.627983 IP 10.12.100.44.63818 > 10.12.19.23.17321: UDP, length 0
11:38:56.627990 IP 10.12.100.44.63818 > 10.12.19.23.46836: UDP, length 0
11:38:56.630472 IP 10.12.100.44.63818 > 10.12.19.23.989: UDP, length 0
11:38:56.630481 IP 10.12.100.44.63818 > 10.12.19.23.772: UDP, length 0
11:38:56.632772 IP 10.12.100.44.63818 > 10.12.19.23.1044: UDP, length 0
11:38:56.632781 IP 10.12.100.44.63818 > 10.12.19.23.30656: UDP, length 0
11:38:56.674633 IP 10.12.100.44.63819 > 10.12.19.23.88:  [|kerberos]
11:38:56.677260 IP 10.12.100.44.63819 > 10.12.19.23.17615: UDP, length 0
11:38:56.677283 IP 10.12.100.44.63819 > 10.12.19.23.61142: UDP, length 0
11:38:56.677285 IP 10.12.100.44.63819 > 10.12.19.23.21366: UDP, length 0
11:38:56.679699 IP 10.12.100.44.63819 > 10.12.19.23.46836: UDP, length 0
11:38:56.679714 IP 10.12.100.44.63819 > 10.12.19.23.17321: UDP, length 0
11:38:56.681938 IP 10.12.100.44.63819 > 10.12.19.23.772: UDP, length 0
11:38:56.681946 IP 10.12.100.44.63819 > 10.12.19.23.989: UDP, length 0
11:38:56.684295 IP 10.12.100.44.63819 > 10.12.19.23.30656: UDP, length 0
11:38:56.684306 IP 10.12.100.44.63819 > 10.12.19.23.1044: UDP, length 0
11:38:56.724982 IP 10.12.100.44.63818 > 10.12.19.23.28641: UDP, length 0
11:38:56.727520 IP 10.12.100.44.63818 > 10.12.19.23.19504: UDP, length 0
11:38:56.727527 IP 10.12.100.44.63818 > 10.12.19.23.20560: UDP, length 0
11:38:56.727529 IP 10.12.100.44.63818 > 10.12.19.23.1035: UDP, length 0
11:38:56.729790 IP 10.12.100.44.63818 > 10.12.19.23.1001: UDP, length 0
11:38:56.729810 IP 10.12.100.44.63818 > 10.12.19.23.51255: UDP, length 0
11:38:56.732303 IP 10.12.100.44.63818 > 10.12.19.23.37783: UDP, length 0
11:38:56.732310 IP 10.12.100.44.63818 > 10.12.19.23.17359: UDP, length 0
11:38:56.734520 IP 10.12.100.44.63818 > 10.12.19.23.58178: UDP, length 0
11:38:56.734527 IP 10.12.100.44.63818 > 10.12.19.23.34079: UDP, length 0
11:38:56.775245 IP 10.12.100.44.63819 > 10.12.19.23.28641: UDP, length 0
11:38:56.777985 IP 10.12.100.44.63819 > 10.12.19.23.1035: UDP, length 0
11:38:56.777992 IP 10.12.100.44.63819 > 10.12.19.23.20560: UDP, length 0
11:38:56.777993 IP 10.12.100.44.63819 > 10.12.19.23.19504: UDP, length 0
11:38:56.780589 IP 10.12.100.44.63819 > 10.12.19.23.51255: UDP, length 0
11:38:56.780595 IP 10.12.100.44.63819 > 10.12.19.23.1001: UDP, length 0
11:38:56.782848 IP 10.12.100.44.63819 > 10.12.19.23.17359: UDP, length 0
11:38:56.782855 IP 10.12.100.44.63819 > 10.12.19.23.37783: UDP, length 0
11:38:56.785238 IP 10.12.100.44.63819 > 10.12.19.23.34079: UDP, length 0
11:38:56.785244 IP 10.12.100.44.63819 > 10.12.19.23.58178: UDP, length 0
11:38:56.825262 IP 10.12.100.44.63818 > 10.12.19.23.16939: UDP, length 0
11:38:56.828568 IP 10.12.100.44.63818 > 10.12.19.23.21609: UDP, length 0
11:38:56.828578 IP 10.12.100.44.63818 > 10.12.19.23.28465: UDP, length 0
11:38:56.828580 IP 10.12.100.44.63818 > 10.12.19.23.40708: UDP, length 0
11:38:56.831012 IP 10.12.100.44.63818 > 10.12.19.23.6346: UDP, length 0
11:38:56.831021 IP 10.12.100.44.63818 > 10.12.19.23.41774: UDP, length 0
11:38:56.833386 IP 10.12.100.44.63818 > 10.12.19.23.17459: UDP, length 0
11:38:56.833406 IP 10.12.100.44.63818 > 10.12.19.23.25931: UDP, length 0
11:38:56.835951 IP 10.12.100.44.63818 > 10.12.19.23.19273: UDP, length 0
